Artikel-ID, ,Produktname-im-Laden,Hauptkategorie,Unterkategorien,Produktname-beim-Lieferanten,Lieferant,Produzent,Produzenten Webseite,Volumen,Hauptrohstoff Herkunft,Herkunftsort,Zertifizierung,Artikel Nr.,Artikel-Nr Neu,Mehrwertsteuer,EP netto,zusätzliche Tarife,VP netto,102.50%,Ladenpreis neu,Ladenpreis alt,Differenz,Verfallsdatum,Letzter Export in den Webshop,Webshop Produktname,Im Webshop anzeigen,quartierdepot-bild-0,Bilder,Kurzbeschreibung,Coop,Differenz,%,Farmy,Differenz,%,,KW51,KW2,KW3,KW4,KW5,KW6,KW7,KW8,KW9,KW10,KW11,KW12,KW13,KW14,KW15,KW16,KW17,KW 18,KW19,KW20,KW21,KW22,KW23,KW23-Rea,KW24,KW25,KW26,KW 27,KW28,KW29,KW30,,Gesamt Bestellmenge,Lager vom Web,Lager Neuer Import,Schwellenwert,Manage stock?,Items sold 4.5.,Stock effektiv,Stock theor,Diff eff vs theo,Summe
A10,,Gemüseabo Gross,01-Vorderer Teil,Frischwarenabo,Gemüseabo Gross,Marc,Gut Steinmaur,www.mueller-steinmaur.ch/,4-5 kg,Schweiz,"Steinmaur, Zürich",CH-Bio,,Marc ,Mwst. reduzierter Satz,25.60,,28.16,28.86,29.00,40.00,-11.00,,19.6.2020,A10 Gemüseabo Gross,visible,quartier-produkt-1,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-1.png,"Gemüseabo Gross wird von Gut Steinmaur produziert und von Marc geliefert. Es kommt aus Steinmaur, Zürich und trägt CH-Bio Zertifizierung",,,,,,,,,11,4,8,5,6,6,7,3,7,5,9,6,8,5,8,5,5,5,8,6,,6,,9,4,8,5,7,3,,,169,,7,,no,118,0,51,-51,-1479.00
A11,,Gemüseabo Klein,01-Vorderer Teil,Frischwarenabo,Gemüseabo Klein,Marc,Gut Steinmaur,www.mueller-steinmaur.ch/,2-3 kg,Schweiz,"Steinmaur, Zürich",CH-Bio,,Marc ,Mwst. reduzierter Satz,19.40,,21.34,21.87,22.00,33.00,-11.00,,19.6.2021,A11 Gemüseabo Klein,visible,quartier-produkt-2,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-2.png,"Gemüseabo Klein wird von Gut Steinmaur produziert und von Marc geliefert. Es kommt aus Steinmaur, Zürich und trägt CH-Bio Zertifizierung",,,,,,,,,13,10,15,9,8,8,8,10,12,10,11,11,15,11,14,10,13,9,13,10,,11,,14,10,15,11,16,11,,,308,,16,,no,202,0,106,-106,-2332.00
A12,,Bund Spargeln,01-Vorderer Teil,Frischwarenabo,Bund Spargeln,Biovelo,Gut Steinmaur,www.mueller-steinmaur.ch/,500g,Schweiz,"Steinmaur, Zürich",CH-Bio,,Biovelo ,Mwst. reduzierter Satz,9.00,,9.90,10.15,10.15,,,,19.6.2022,A12 Bund Spargeln,hidden,quartier-produkt-3,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-3.png,"Bund Spargeln wird von Gut Steinmaur produziert und von Biovelo geliefert. Es kommt aus Steinmaur, Zürich und trägt CH-Bio Zertifizierung",,,,,,,,,,,,,,,,,,,,,,,,29,,24,,,,,,,,,,,,,,53,,0,,no,56,0,-3,3,30.44
B10,,Früchteabo,01-Vorderer Teil,Frischwarenabo,Früchteabo,Biopartner,Diverse,www.biopartner.ch/de/,3-4 kg,diversen Lädern,diversen Ländern,"CH-Bio, EU-Bio",,Biopartner ,Mwst. reduzierter Satz,16.80,,18.48,18.94,19.00,19.00,0.00,,19.6.2023,B10 Früchteabo,visible,quartier-produkt-4,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-4.png,"Früchteabo wird von Diverse produziert und von Biopartner geliefert. Es kommt aus diversen Ländern und trägt CH-Bio, EU-Bio Zertifizierung",,,,,,,,,16,11,23,2,15,12,13,12,18,11,21,12,24,13,22,13,24,14,23,15,,13,,21,10,21,13,20,8,,,420,,20,,no,301,0,119,-119,-2261.00
B11,,Erdbeeren,01-Vorderer Teil,Frischwarenabo,Erdbeeren,Picobio,,,,Schweiz,"Seeland, Zürich",Knospenbetrieb in Umstellung,,Picobio ,Mwst. reduzierter Satz,6.00,,6.60,6.77,6.77,6.77,,,19.6.2024,B11 Erdbeeren,hidden,quartier-produkt-5,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-5.png,"Erdbeeren wird von  produziert und von Picobio geliefert. Es kommt aus Seeland, Zürich und trägt Knospenbetrieb in Umstellung Zertifizierung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,no,,,,,
B12,,Mangos,01-Vorderer Teil,Frischwarenabo,Mangos,Gebana,Gebana,www.gebana.com,500gr,Burikna Faso,Burkina Faso,Bio,,Gebana ,Mwst. reduzierter Satz,3.48,,3.83,3.92,3.92,,,,19.6.2025,B12 Mangos,hidden,quartier-produkt-6,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-6.png,Mangos wird von Gebana produziert und von Gebana geliefert. Es kommt aus Burkina Faso und trägt Bio Zertifizierung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,no,,,,,
B13,,Beeren,01-Vorderer Teil,Frischwarenabo,Johannisbeeren,Marc,Gut Steinmaur,www.mueller-steinmaur.ch/,500gr,Schweiz,"Steinmaur, Zürich",CH-Bio,,Marc ,Mwst. reduzierter Satz,5.62,,6.18,6.34,6.34,,,,19.6.2026,B13 Beeren,visible,quartier-produkt-7,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-7.png,"Beeren wird von Gut Steinmaur produziert und von Marc geliefert. Es kommt aus Steinmaur, Zürich und trägt CH-Bio Zertifizierung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,,0,,no,,,,,
B14,N,Aprikosen Klasse A,01-Vorderer Teil,Frischwarenabo,Aprikosen Klasse A,Neues Food Depot,,,1kg,"Wallis, Schweiz","Wallis, Schweiz",CH-Bio,,Neues Food Depot ,Mwst. reduzierter Satz,11.26,,12.39,12.70,12.70,,,,19.6.2027,B14 Aprikosen Klasse A,visible,quartier-produkt-8,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-8.png,"Aprikosen Klasse A wird von  produziert und von Neues Food Depot geliefert. Es kommt aus Wallis, Schweiz und trägt CH-Bio Zertifizierung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,
B15,N,Aprikosen Klasse B,01-Vorderer Teil,Frischwarenabo,Aprikosen Klasse B,Neues Food Depot,,,1kg,"Wallis, Schweiz","Wallis, Schweiz",CH-Bio,,Neues Food Depot ,Mwst. reduzierter Satz,6.74,,7.41,7.60,7.60,,,,19.6.2028,B15 Aprikosen Klasse B,visible,quartier-produkt-9,https://webshop.quartier-depot.ch/wp-content/uploads/quartier-produkt-9.png,"Aprikosen Klasse B wird von  produziert und von Neues Food Depot geliefert. Es kommt aus Wallis, Schweiz und trägt CH-Bio Zertifizierung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,
B16,,Melone,,,,,,,,,,,,,Mwst. reduzierter Satz,4.93,,5.42,5.56,5.56,,,,,,visible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,
